,dataset,kernel_size,accuracy
0,StripeSpotter,1,0.9817073170731708
1,StripeSpotter,3,0.9695121951219512
2,StripeSpotter,7,0.945121951219512
3,StripeSpotter,11,0.945121951219512
4,StripeSpotter,17,0.9207317073170732
5,NyalaData,1,0.219626168224299
6,NyalaData,3,0.1705607476635514
7,NyalaData,7,0.1051401869158878
8,NyalaData,11,0.0864485981308411
9,NyalaData,17,0.058411214953271
10,ZindiTurtleRecall,1,0.5749513303049968
11,ZindiTurtleRecall,3,0.5525632706035042
12,ZindiTurtleRecall,7,0.4065541855937702
13,ZindiTurtleRecall,11,0.2852044127190136
14,ZindiTurtleRecall,17,0.1709928617780662
15,BelugaID,1,0.4675019577133907
16,BelugaID,3,0.4526233359436178
17,BelugaID,7,0.3766640563821457
18,BelugaID,11,0.3320281910728269
19,BelugaID,17,0.278778386844166
20,ATRW,1,0.935813953488372
21,ATRW,3,0.933953488372093
22,ATRW,7,0.9144186046511628
23,ATRW,11,0.8837209302325582
24,ATRW,17,0.8604651162790697
25,SeaTurtleIDHeads,1,0.8926925608953259
26,SeaTurtleIDHeads,3,0.8933508887425938
27,SeaTurtleIDHeads,7,0.8439763001974984
28,SeaTurtleIDHeads,11,0.7570770243581304
29,SeaTurtleIDHeads,17,0.5892034233048058
30,CTai,1,0.9078242229367632
31,CTai,3,0.9035369774919614
32,CTai,7,0.8896034297963559
33,CTai,11,0.84994640943194
34,CTai,17,0.7652733118971061
35,Giraffes,1,0.8694029850746269
36,Giraffes,3,0.8544776119402985
37,Giraffes,7,0.7910447761194029
38,Giraffes,11,0.7126865671641791
39,Giraffes,17,0.5932835820895522
40,HyenaID2022,1,0.7523809523809524
41,HyenaID2022,3,0.7333333333333333
42,HyenaID2022,7,0.6492063492063492
43,HyenaID2022,11,0.5428571428571428
44,HyenaID2022,17,0.446031746031746
45,MacaqueFaces,1,0.9904458598726116
46,MacaqueFaces,3,0.9912420382165604
47,MacaqueFaces,7,0.9920382165605096
48,MacaqueFaces,11,0.9912420382165604
49,MacaqueFaces,17,0.9896496815286624
50,OpenCows2020,1,0.9978880675818372
51,OpenCows2020,3,0.9978880675818372
52,OpenCows2020,7,0.9978880675818372
53,OpenCows2020,11,0.9957761351636748
54,OpenCows2020,17,0.993664202745512
55,GiraffeZebraID,1,0.7791084497671324
56,GiraffeZebraID,3,0.7524950099800399
57,GiraffeZebraID,7,0.6646706586826348
58,GiraffeZebraID,11,0.5741849634065203
59,GiraffeZebraID,17,0.4590818363273453
60,IPanda50,1,0.8523636363636363
61,IPanda50,3,0.8334545454545454
62,IPanda50,7,0.7607272727272727
63,IPanda50,11,0.6312727272727273
64,IPanda50,17,0.4741818181818182
65,WhaleSharkID,1,0.4902208201892744
66,WhaleSharkID,3,0.4302839116719243
67,WhaleSharkID,7,0.2542586750788643
68,WhaleSharkID,11,0.2044164037854889
69,WhaleSharkID,17,0.1772870662460567
70,LeopardID2022,1,0.749476622470342
71,LeopardID2022,3,0.7236566643405443
72,LeopardID2022,7,0.6224703419399861
73,LeopardID2022,11,0.5408234473133287
74,LeopardID2022,17,0.5031402651779484
75,HumpbackWhaleID,1,0.6335204490777867
76,HumpbackWhaleID,3,0.595028067361668
77,HumpbackWhaleID,7,0.4375835338144881
78,HumpbackWhaleID,11,0.3082063619353114
79,HumpbackWhaleID,17,0.198075380914194
